Modèle,CV AUC (moy),CV AUC (std),CV F1 (moy),CV F1 (std),Test AUC,Test F1,Temps (s)
Gradient Boosting,0.7943,0.0043,0.3531,0.0154,0.8094,0.3531,25.0
Logistic Reg.,0.7892,0.0066,0.3367,0.0154,0.8005,0.335,2.6
AdaBoost,0.7842,0.0048,0.3068,0.0181,0.7987,0.3125,15.1
Random Forest,0.7701,0.0065,0.3665,0.0116,0.7772,0.3925,20.5
Bagging (DT),0.758,0.0087,0.3758,0.0129,0.777,0.4,44.8
Naive Bayes,0.7627,0.0027,0.408,0.0112,0.7732,0.4126,1.0
KNN (k=5),0.7204,0.0085,0.3632,0.0148,0.7449,0.3724,22.2
MLP (ANN),0.6911,0.0096,0.358,0.0188,0.7168,0.3891,307.1
SVM (RBF),0.6933,0.0083,0.342,0.0197,0.6996,0.3704,2588.5
Decision Tree,0.6283,0.0054,0.3317,0.0089,0.63,0.3404,2.2
