,CART Optimisé,Random Forest Optimisé,Gradient Boosting Optimisé,Moyenne
nr.employed,0.6064731685230144,0.15335218423027897,0.42203977864305725,0.39395504379878354
euribor3m,0.06496943778598156,0.15785581418017458,0.11672428446432417,0.11318317881016011
pdays,0.12078901714992708,0.09344136271077493,0.07518341582183859,0.09647126522751354
cons.conf.idx,0.060905510673887164,0.07157416067974492,0.05137055655994062,0.06128340930452423
age,0.027370960834449332,0.054935163632317846,0.07136706202445064,0.051224395497072604
poutcome_success,0.0,0.0826795926050629,0.02910105557196912,0.03726021605901067
cons.price.idx,0.01071249212920697,0.06026082899889307,0.02185267222866097,0.030941997785587
emp.var.rate,0.0,0.07599997128924432,0.0038651744402892194,0.026621715243177847
campaign,0.010234354449216746,0.021274924536267937,0.030249771255425474,0.020586350080303385
contact_telephone,0.019659378519548968,0.01894178243441189,0.018093303985425628,0.018898154979795495
previous,0.01599364635969914,0.021298332541459675,0.015811622948603315,0.01770120061658738
month_oct,0.02123517416799365,0.01259381710287403,0.015358340881989514,0.016395777384285732
day_of_week_mon,0.013994332145360465,0.008880577501290478,0.012365266101569943,0.011746725249406962
poutcome_nonexistent,0.0015818687278753168,0.02154929451769764,0.006147717482243025,0.009759626909271993
education_university.degree,0.0072235205390104775,0.008649264534367457,0.007605368553251449,0.007826051208876462
month_may,0.003460455510819725,0.013425782208460817,0.000869457765417681,0.0059185651615660745
housing_yes,0.0006151833329869307,0.008412779064347009,0.005525544109323604,0.004851168835552515
month_mar,0.0,0.013140609589916743,0.001193417627475627,0.004778009072464124
job_technician,0.0021516490290306696,0.004323203144710911,0.007291823369927165,0.004588891847889582
month_jun,0.003406376092719422,0.0067383458485911745,0.003406422575684335,0.004517048172331644
marital_single,0.0010127923784489842,0.00626193675493939,0.005610325696951847,0.004295018276780073
day_of_week_tue,0.0,0.00596797211173972,0.006710909794671187,0.004226293968803636
job_retired,0.0020953361417720097,0.0058957050748800165,0.0038883915861664593,0.003959810934272829
education_professional.course,0.0014041318808911266,0.003586838232834376,0.005958281864455179,0.003649750659393561
day_of_week_wed,0.0,0.005822087332291959,0.004765706818761544,0.0035292647170178343
education_high.school,0.0,0.005126730045452653,0.005358396339038824,0.0034950421281638258
marital_married,0.0008884444287828877,0.006239014038368567,0.003242546742754831,0.0034566684033020957
day_of_week_thu,0.0,0.006869193385729988,0.003247971036211709,0.003372388140647232
loan_yes,0.0,0.0043104091760977166,0.004886559258852099,0.003065656144983272
job_blue-collar,0.0,0.005022689746245424,0.0039361645273746325,0.002986284757873352
month_jul,0.001967864190885965,0.004046636151765981,0.0015502649146655874,0.002521588419105844
month_sep,0.0,0.0058311490079155925,0.0016590149115732913,0.0024967213064962944
education_basic.9y,0.0,0.003841102153891367,0.003112699690741112,0.0023179339482108266
month_nov,0.0018549050084911102,0.002835464480918482,0.0022524832880570543,0.002314284259155549
job_management,0.0,0.0023414179065797823,0.004251183109913486,0.002197533672164423
job_student,0.0,0.003538727555610905,0.0023365565668738916,0.0019584280408282656
job_services,0.0,0.002421731487295543,0.003414447199143533,0.0019453928954796921
job_self-employed,0.0,0.0012387195977847727,0.004443119471740945,0.0018939463565085725
education_basic.6y,0.0,0.0013135871654821989,0.003772171549073949,0.0016952529048520494
month_dec,0.0,0.0024951591120362946,0.0022731137170565532,0.0015894242763642827
month_aug,0.0,0.0030498110103834037,0.0012161012592140099,0.0014219707565324713
job_unemployed,0.0,0.0007607259937506426,0.002495980472983745,0.001085568822244796
job_housemaid,0.0,0.0007586819342324933,0.0021368090581915934,0.0009651636641413622
job_entrepreneur,0.0,0.0010967191928855794,0.0016091530926597623,0.0009019574285151138
education_illiterate,0.0,0.0,0.000449591622005838,0.000149863874001946
default_yes,0.0,0.0,0.0,0.0
